Year_of_Birth,Education_Level,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Enrol_year,Enrol_Month,Enrol_Age,Enrol_day,Enrol_wkday,Year_Birth_Clus,CatPurchase_Clus,WebPurchuse_Clus,WebVisit_Clus,Education_Ordinal
1952,Master,Together,56822.4,0,1,77,4,6,1,5,177,15,112,8,0,15,7,0,0,0,0,0,0,2013,11,61,4,Monday,1,0,0,0,3
1971,Graduation,Widow,38256.0,1,0,20,1,1,0,2,9,4,5,2,0,3,8,0,0,0,0,0,0,2012,10,41,31,Wednesday,1,0,0,0,5
1968,Master,Together,75015.59999999999,0,1,23,2,6,4,10,525,45,98,0,42,14,6,0,0,0,0,0,0,2013,9,45,9,Monday,1,0,0,0,3
1972,Graduation,Married,22551.6,1,0,21,3,2,0,4,9,19,20,0,17,20,8,0,0,0,0,0,0,2013,12,41,1,Sunday,1,0,0,0,5
1972,Graduation,Together,45878.4,1,1,91,4,3,1,3,48,8,28,7,6,33,5,0,0,0,0,0,0,2014,1,42,17,Friday,1,0,0,0,5
1981,Graduation,Married,57420.0,1,0,79,1,3,0,4,47,10,43,20,12,10,6,0,0,0,0,0,0,2013,3,32,12,Tuesday,1,0,0,0,5
1973,PhD,Married,95916.0,0,0,79,1,3,5,8,797,89,740,67,51,17,2,0,0,0,0,0,0,2012,8,39,8,Wednesday,1,0,0,0,4
1974,PhD,Divorced,43032.0,1,1,44,2,1,1,2,20,3,8,4,2,20,5,1,0,0,0,0,0,2014,5,40,19,Monday,1,0,0,0,4
1985,PhD,Single,51252.0,1,0,45,2,4,5,3,257,6,42,4,3,102,6,0,0,0,0,0,0,2012,11,27,28,Wednesday,1,0,0,0,4
1972,Graduation,Single,27364.8,1,0,82,1,2,0,2,19,4,7,2,1,1,9,0,0,0,0,0,0,2013,7,41,31,Wednesday,1,0,0,0,5
1975,PhD,Married,44504.4,1,0,57,3,4,2,8,199,58,134,15,0,3,6,0,0,0,0,0,0,2013,11,38,8,Friday,1,0,0,0,4
1973,PhD,Together,42379.262353298705,1,0,24,1,1,0,3,30,4,13,0,0,3,7,0,0,0,0,0,0,2014,2,41,3,Monday,1,0,0,0,4
1966,Graduation,Married,53250.0,0,1,80,1,4,1,6,218,8,28,7,7,41,5,0,0,0,0,0,0,2014,3,48,23,Sunday,1,0,0,0,5
1968,PhD,Single,48364.8,1,0,89,1,2,0,3,42,3,17,0,0,3,7,0,0,0,0,0,0,2013,9,45,30,Monday,1,0,0,0,4
1963,Graduation,Married,85720.8,0,1,11,3,7,4,7,716,39,217,172,96,168,4,0,1,0,1,0,0,2013,9,50,18,Wednesday,1,0,0,0,5
1989,Graduation,Single,41011.2,1,0,19,4,3,0,4,10,10,24,19,14,20,6,0,0,0,0,0,0,2014,12,25,5,Friday,1,0,0,0,5
1946,PhD,Single,54691.2,0,0,16,1,3,1,3,61,22,29,2,14,25,8,0,0,0,0,0,0,2014,5,68,28,Wednesday,1,0,0,0,4
1991,Graduation,Single,41294.4,1,0,69,3,5,0,3,57,15,50,4,36,55,9,0,0,0,0,0,0,2013,2,22,13,Wednesday,1,0,0,0,5
1957,Graduation,Single,72856.8,0,0,63,2,7,4,10,221,165,224,101,92,162,5,0,0,0,0,0,0,2013,1,56,17,Thursday,1,0,0,0,5
1986,Graduation,Married,23983.2,1,0,81,1,0,0,3,8,9,5,0,2,6,7,0,0,0,0,0,0,2013,11,27,14,Thursday,1,0,0,0,5
1955,Graduation,Together,47877.6,0,1,27,2,3,0,4,74,11,26,12,7,12,7,0,0,0,0,0,0,2013,12,58,2,Monday,1,0,0,0,5
1967,Graduation,Married,65037.6,1,1,20,6,3,1,6,190,3,28,3,2,17,4,0,0,0,0,0,0,2013,12,46,17,Tuesday,1,0,0,0,5
1971,Graduation,Single,73450.8,0,0,80,1,5,3,4,471,3,224,119,49,99,2,0,0,0,0,0,0,2013,8,42,25,Sunday,1,0,0,0,5
1966,Master,Together,78882.0,1,1,44,5,6,2,6,244,10,119,4,15,11,7,0,0,0,0,0,0,2013,7,47,12,Friday,1,0,0,0,3
1942,PhD,Married,111632.4,0,0,84,0,7,10,5,1290,45,716,55,0,21,2,0,0,1,0,0,0,2013,4,71,13,Saturday,1,0,0,0,4
1973,PhD,Married,71967.59999999999,0,0,54,1,3,4,7,135,33,168,20,34,0,1,0,0,0,0,0,0,2013,11,40,9,Saturday,1,0,0,0,4
1986,Master,Together,48121.2,1,0,80,4,6,1,6,176,6,129,26,24,62,7,0,0,0,0,0,0,2012,10,26,14,Sunday,1,0,0,0,3
1950,Graduation,Widow,86757.59999999999,0,0,59,1,4,3,6,630,38,169,58,17,35,1,0,1,1,0,0,0,2014,10,64,3,Friday,1,0,0,0,5
1952,Master,Divorced,69036.0,0,1,75,1,1,1,4,55,4,27,6,7,1,1,0,0,0,0,0,0,2013,12,61,10,Tuesday,1,0,0,0,3
1967,Graduation,Married,96477.6,0,0,99,1,5,8,12,347,54,936,207,35,26,3,0,0,1,0,0,0,2012,10,45,11,Thursday,1,0,0,0,5
1953,Graduation,Divorced,61844.4,0,1,34,3,2,2,11,792,23,204,0,0,92,8,0,0,0,0,0,0,2012,9,59,12,Wednesday,1,0,0,0,5
1970,Master,Married,95680.8,0,0,79,1,4,3,6,577,11,232,23,62,17,1,0,0,0,1,0,0,2014,6,44,28,Saturday,1,0,0,0,3
1970,Graduation,Single,97988.4,0,0,76,1,3,4,8,369,43,425,158,60,50,1,0,0,0,0,0,0,2014,1,44,22,Wednesday,1,0,0,0,5
1972,PhD,Widow,56533.2,0,1,42,6,3,2,10,600,74,153,120,112,41,9,0,0,0,0,0,0,2012,8,40,9,Thursday,1,0,0,0,4
1971,Graduation,Single,80860.8,0,1,39,2,7,8,5,962,43,175,158,53,107,5,0,1,0,0,0,0,2012,10,41,11,Thursday,1,0,0,0,5
1968,Graduation,Together,38968.8,1,1,7,1,1,0,2,15,3,1,0,0,0,7,0,0,0,0,0,0,2014,11,46,5,Wednesday,1,0,0,0,5
1952,Graduation,Together,48826.8,0,1,76,7,7,1,5,275,6,27,39,6,99,8,0,0,0,0,0,0,2013,3,61,18,Monday,1,0,0,0,5
1972,Graduation,Married,77666.4,1,0,54,4,8,2,11,308,3,280,60,147,15,6,0,0,0,0,0,0,2014,5,42,26,Monday,1,0,0,0,5
1989,Graduation,Together,50259.6,1,0,20,3,4,2,3,37,37,41,73,16,116,7,0,0,0,0,0,0,2013,3,24,19,Tuesday,1,0,0,0,5
1968,Graduation,Together,53917.2,0,1,7,1,2,1,3,83,3,11,0,0,7,5,0,0,0,0,0,0,2014,1,46,18,Saturday,1,0,0,0,5
1973,Graduation,Single,25630.8,1,0,8,2,2,0,3,17,5,17,6,1,10,8,0,0,0,0,0,0,2013,4,40,20,Saturday,1,0,0,0,5
1966,Graduation,Married,88245.59999999998,0,1,99,3,10,4,9,816,79,428,99,137,107,7,0,0,0,0,0,0,2012,11,46,25,Sunday,1,0,0,0,5
1961,Graduation,Married,35328.0,1,1,102,2,1,0,4,22,11,14,10,4,3,7,0,0,0,0,0,0,2013,11,52,8,Friday,1,0,0,0,5
1964,Graduation,Divorced,81741.59999999999,0,1,58,2,8,9,4,600,26,123,10,23,154,6,0,0,0,0,0,0,2013,10,49,18,Friday,1,0,0,0,5
1955,Graduation,Divorced,86485.2,0,1,11,3,5,4,8,536,72,300,150,138,150,2,0,0,0,0,0,0,2013,2,58,14,Thursday,1,0,0,0,5
1989,Basic,Together,16468.8,1,0,50,1,2,0,2,7,10,5,2,15,27,9,1,0,0,0,0,0,2012,8,23,31,Friday,1,0,0,0,1
1990,Secondary,Married,70872.0,1,0,84,3,3,1,7,40,43,111,36,40,12,4,0,0,0,0,0,0,2014,11,24,1,Saturday,1,0,0,0,2
1961,Master,Together,99781.2,0,0,100,1,5,9,4,412,31,100,120,74,18,3,0,0,0,0,0,0,2012,10,51,10,Wednesday,1,0,0,0,3
1955,Graduation,Together,47877.6,0,1,27,2,3,0,4,74,11,26,12,7,12,7,0,0,0,0,0,0,2013,12,58,2,Monday,1,0,0,0,5
1972,Graduation,Married,42945.6,1,1,41,2,2,0,3,28,5,11,3,1,4,6,0,0,0,0,0,0,2014,1,42,23,Thursday,1,0,0,0,5
1980,Basic,Single,24232.8,1,0,71,2,2,0,3,5,7,7,11,10,15,6,0,0,0,0,0,0,2012,12,32,17,Monday,1,0,0,0,1
1973,Graduation,Married,78822.0,0,1,61,1,9,2,9,647,17,49,0,7,57,5,0,0,0,0,0,0,2014,3,41,29,Saturday,1,0,0,0,5
1981,Graduation,Married,73216.8,0,1,24,4,9,3,4,274,132,495,182,43,29,7,0,0,0,0,0,0,2012,11,31,8,Thursday,1,0,0,0,5
1979,Graduation,Married,34130.4,2,0,60,3,2,1,4,24,6,10,11,8,6,4,0,0,0,0,0,0,2014,2,35,24,Monday,1,0,0,0,5
1972,Secondary,Married,65628.0,1,1,83,3,3,1,5,116,19,37,7,9,18,3,0,0,0,0,0,0,2013,7,41,11,Thursday,1,0,0,0,2
1973,Graduation,Married,96160.8,1,0,47,2,5,3,6,1223,19,272,104,0,80,6,0,1,1,1,0,0,2013,5,40,20,Monday,1,0,0,0,5
1979,Graduation,Single,34376.4,1,0,61,1,2,2,2,24,11,29,0,12,26,7,1,0,0,0,0,0,2013,8,34,21,Wednesday,1,0,0,0,5
1972,Graduation,Together,89445.59999999998,0,0,28,1,8,8,5,385,101,733,110,112,28,3,0,0,1,0,0,0,2013,6,41,29,Saturday,1,0,0,0,5
1991,Basic,Single,19422.0,1,0,78,2,2,2,2,10,14,16,21,8,45,8,0,0,0,0,0,0,2013,5,22,8,Wednesday,1,0,0,0,1
1973,Secondary,Together,60400.8,0,1,31,6,7,4,6,289,19,160,84,16,134,6,0,0,0,0,0,0,2013,7,40,24,Wednesday,1,0,0,0,2
1966,Graduation,Together,56410.8,0,1,96,4,3,2,8,176,48,73,59,10,90,4,0,0,0,0,0,0,2013,1,47,10,Thursday,1,0,0,0,5
1960,Graduation,Married,22428.0,0,0,84,1,1,1,2,11,4,7,23,4,19,8,0,0,0,0,0,0,2012,12,52,28,Friday,1,0,0,0,5
1968,Graduation,Married,61774.8,1,1,74,7,6,3,6,252,11,160,6,8,65,7,0,0,0,0,0,0,2012,12,44,28,Friday,1,0,0,0,5
1953,Graduation,Single,53055.6,1,1,55,4,2,1,5,100,14,35,0,4,7,6,0,0,0,0,0,0,2013,11,60,29,Friday,1,0,0,0,5
1977,Graduation,Single,90990.0,0,0,47,0,5,8,9,1037,108,779,137,105,51,4,1,0,0,0,0,0,2012,12,35,10,Monday,1,0,0,0,5
1987,Graduation,Single,64553.29977455166,1,0,26,0,27,0,0,10,4,3,3,263,362,1,0,0,0,0,0,0,2013,2,26,20,Wednesday,1,0,1,0,5
1978,Graduation,Married,86540.4,0,1,41,1,9,7,9,712,23,171,65,60,50,5,0,0,0,0,0,0,2013,8,35,20,Tuesday,1,0,0,0,5
1987,Graduation,Married,39456.0,1,0,83,1,1,0,3,13,7,15,7,6,2,8,0,0,0,0,0,0,2012,4,25,12,Thursday,1,0,0,0,5
1967,Graduation,Married,53752.8,0,1,106,1,2,0,3,59,3,7,0,0,4,6,0,0,0,0,0,0,2014,8,47,6,Wednesday,1,0,0,0,5
1956,Master,Together,98860.8,0,0,62,1,3,10,13,989,54,432,180,120,190,1,0,0,1,0,0,0,2012,11,56,19,Monday,1,0,0,0,3
1951,Master,Divorced,75744.0,0,1,60,5,8,4,9,970,72,279,54,41,69,7,0,0,0,0,0,0,2012,9,61,28,Friday,1,0,0,0,3
1979,PhD,Married,55652.4,1,0,96,1,2,1,3,42,3,46,4,3,0,4,0,0,0,0,0,0,2014,1,35,3,Friday,1,0,0,0,4
1971,Graduation,Divorced,70452.0,0,1,84,6,11,5,9,445,84,368,0,122,174,6,0,0,0,0,0,0,2013,3,42,31,Sunday,1,0,0,0,5
1971,Master,Together,95302.8,0,0,103,1,4,6,4,756,130,687,20,15,31,2,0,0,0,0,0,0,2014,6,43,22,Sunday,1,0,0,0,3
1956,Secondary,Married,87162.0,0,0,61,1,6,8,6,395,25,323,104,35,107,3,0,0,0,1,0,0,2013,3,57,6,Wednesday,1,0,0,0,2
1986,PhD,Married,40144.8,1,0,39,2,4,0,4,81,13,56,3,1,23,8,0,0,0,0,0,0,2013,8,27,5,Monday,1,0,0,0,4
1984,Graduation,Together,94424.4,0,0,20,1,4,6,8,822,188,687,145,55,241,2,0,0,1,0,0,0,2012,9,28,8,Saturday,1,0,0,0,5
1945,PhD,Single,99259.2,0,0,15,1,6,8,13,611,151,228,15,148,22,2,0,0,0,0,0,0,2013,5,68,11,Saturday,1,0,0,0,4
1967,Graduation,Married,53434.8,0,1,105,6,6,2,11,543,16,91,17,6,26,5,0,1,0,0,0,0,2013,5,46,7,Tuesday,1,0,0,0,5
1969,Graduation,Divorced,90831.6,0,0,17,1,11,4,6,802,156,293,72,97,30,4,0,1,1,1,0,0,2012,6,43,12,Tuesday,1,0,0,0,5
1969,Graduation,Together,50073.6,1,0,99,1,2,0,2,18,9,15,3,5,13,10,0,0,0,0,0,0,2013,5,44,24,Friday,1,0,0,0,5
1950,PhD,Widow,65227.2,0,1,69,3,11,2,8,715,18,30,20,0,0,8,0,0,0,0,0,0,2012,11,62,19,Monday,1,0,0,0,4
1965,Graduation,Married,58915.2,1,1,22,4,4,1,4,149,4,32,2,1,7,7,0,0,0,0,0,0,2013,9,48,24,Tuesday,1,0,0,0,5
1977,Master,Married,39817.2,1,0,97,1,1,0,2,14,3,3,0,0,4,6,1,0,0,0,0,0,2014,3,37,1,Saturday,1,0,0,0,3
1979,PhD,Married,49216.8,1,0,72,1,1,0,2,12,5,6,2,0,3,7,0,0,0,0,0,0,2013,4,34,22,Monday,1,0,0,0,4
1974,Graduation,Single,9000.0,1,0,61,4,3,1,3,10,6,10,12,7,20,7,0,0,0,0,0,0,2013,12,39,26,Thursday,1,0,0,0,5
1975,Master,Together,55216.8,1,1,28,10,7,1,8,415,3,59,19,9,44,7,0,0,0,0,0,0,2013,1,38,21,Monday,1,0,0,0,3
1946,Graduation,Widow,75942.0,0,0,91,1,6,5,13,513,127,249,50,38,134,3,0,0,0,0,0,0,2013,5,67,11,Saturday,1,0,0,0,5
1956,Secondary,Married,75566.4,0,1,46,2,7,4,3,318,18,47,20,0,192,6,0,0,0,0,0,0,2012,3,56,8,Thursday,1,0,0,0,2
1966,Secondary,Married,92160.0,0,0,40,1,4,4,7,178,29,255,35,71,81,1,0,0,0,0,0,0,2014,8,48,3,Sunday,1,0,0,0,2
1979,Graduation,Married,61520.4,1,1,44,4,3,3,5,188,5,64,7,2,12,4,0,0,0,0,0,0,2013,10,34,29,Tuesday,1,0,0,0,5
1959,Graduation,Divorced,95763.6,0,1,61,1,4,3,5,579,11,216,21,16,33,1,0,0,0,0,0,0,2014,2,55,6,Thursday,1,0,0,0,5
1950,Master,Married,43689.6,1,1,18,1,1,0,2,14,4,4,3,2,3,6,0,0,0,0,0,0,2013,9,63,21,Saturday,1,0,0,0,3
1970,PhD,Married,67490.4,0,1,79,5,8,4,11,694,11,167,11,8,88,6,0,0,0,0,0,0,2013,3,43,3,Sunday,1,0,0,0,4
1951,Graduation,Together,33984.0,0,1,75,1,1,0,3,24,4,14,3,2,4,8,0,0,0,0,0,0,2013,1,62,14,Monday,1,0,0,0,5
1953,Graduation,Divorced,99147.6,0,0,65,1,2,9,4,209,37,204,172,153,173,1,0,0,0,0,0,0,2013,10,60,11,Friday,1,0,0,0,5
1954,Graduation,Married,84603.59999999999,0,0,80,1,2,4,9,1384,36,216,0,33,66,6,0,1,1,0,0,0,2012,9,58,30,Sunday,1,0,0,0,5
1972,Graduation,Together,46308.0,1,0,72,1,1,0,2,8,4,8,4,3,3,8,0,0,0,0,0,0,2013,5,41,15,Wednesday,1,0,0,0,5
1948,Master,Together,93158.4,0,0,80,1,4,2,6,1205,108,758,0,42,147,2,0,1,1,0,0,0,2013,10,65,3,Thursday,1,0,0,0,3
1989,Graduation,Single,30009.6,1,0,79,2,1,0,3,7,11,8,6,1,9,8,0,0,0,0,0,0,2014,2,25,2,Sunday,1,0,0,0,5
1963,Graduation,Married,78379.2,1,1,72,2,3,2,5,117,9,92,3,9,38,4,0,0,0,0,0,0,2013,4,50,24,Wednesday,1,0,0,0,5
1996,Secondary,Single,99908.4,0,0,63,1,5,10,12,541,30,590,38,107,67,6,1,0,1,0,0,1,2012,9,16,18,Tuesday,1,0,0,0,2
1949,PhD,Married,73760.4,0,2,76,3,5,2,10,415,19,114,0,5,49,5,0,0,0,0,0,0,2012,9,63,12,Wednesday,1,0,0,0,4
1958,PhD,Married,90339.6,1,2,33,11,6,3,5,738,12,180,12,19,66,4,0,0,0,0,0,0,2013,3,55,27,Wednesday,1,0,0,0,4
1959,Graduation,Together,55932.0,0,0,11,1,6,1,6,293,13,30,4,10,125,6,0,0,0,0,0,0,2013,7,54,18,Thursday,1,0,0,0,5
1967,Graduation,Married,73543.2,0,1,41,2,7,1,8,361,3,107,19,9,117,5,0,0,0,0,0,0,2013,2,46,8,Friday,1,0,0,0,5
1983,Master,Single,90932.4,0,0,19,1,3,6,11,717,29,538,69,13,80,1,0,1,1,0,0,0,2013,4,30,7,Sunday,1,0,0,0,3
1962,Graduation,Married,32539.2,1,1,85,2,2,0,3,17,4,21,2,2,3,7,0,0,0,0,0,0,2014,2,52,3,Monday,1,0,0,0,5
1974,Master,Together,88619.20185417116,0,0,94,1,2,4,8,450,40,359,98,28,18,1,0,0,0,0,0,0,2013,11,39,23,Saturday,1,0,0,0,3
1975,PhD,Together,54081.6,0,1,32,1,1,0,2,19,3,3,0,0,3,7,0,0,0,0,0,0,2013,5,38,16,Thursday,1,0,0,0,4
1969,Graduation,Together,70264.8,1,1,62,6,8,2,6,373,27,68,38,0,88,7,0,0,0,0,0,0,2012,9,43,26,Wednesday,1,0,0,0,5
1958,Graduation,Together,26392.8,0,1,11,1,0,0,3,14,3,6,3,1,3,5,0,0,0,0,0,0,2012,12,54,24,Monday,1,0,0,0,5
1982,Basic,Married,29376.0,1,0,53,3,3,0,4,9,22,9,28,25,17,7,0,0,0,0,0,0,2013,11,31,2,Saturday,1,0,0,0,1
1978,Secondary,Divorced,71521.2,0,1,21,4,2,2,7,696,10,69,0,7,23,8,0,1,0,0,0,0,2013,7,35,25,Thursday,1,0,0,0,2
1949,PhD,Together,56017.2,0,2,59,2,4,6,4,274,18,69,15,19,38,5,0,0,0,0,0,0,2013,8,64,10,Saturday,1,0,0,0,4
1957,Secondary,Together,65210.4,1,1,81,4,3,1,4,89,13,34,11,10,28,6,0,0,0,0,0,0,2013,3,56,7,Thursday,1,0,0,0,2
1984,Master,Married,32520.0,1,0,71,1,1,0,3,17,3,13,2,0,10,7,0,0,0,0,0,0,2013,5,29,4,Saturday,1,0,0,0,3
1957,Master,Single,66340.8,0,1,67,3,7,5,8,552,10,140,0,7,63,5,0,0,0,0,0,0,2012,12,55,24,Monday,1,0,0,0,3
1966,PhD,Married,101541.6,0,0,103,1,6,9,10,689,103,801,21,66,0,2,0,0,1,0,0,0,2013,11,47,22,Friday,1,0,0,0,4
1963,Graduation,Single,69560.4,0,1,46,5,4,2,8,234,10,137,4,0,91,5,0,0,0,0,0,0,2013,3,50,3,Sunday,1,0,0,0,5
1980,Graduation,Together,92757.6,0,1,53,1,6,6,11,430,118,292,23,35,79,3,0,0,0,0,0,0,2013,2,33,11,Monday,1,0,0,0,5
1958,Graduation,Together,26392.8,0,1,11,1,0,0,3,14,3,6,3,1,3,5,0,0,0,0,0,0,2012,12,54,24,Monday,1,0,0,0,5
1966,Secondary,Together,85785.59999999999,0,0,94,2,3,4,7,167,36,124,40,28,172,1,0,0,0,0,0,0,2013,2,47,18,Monday,1,0,0,0,2
1966,PhD,Single,48764.4,1,1,79,2,1,0,3,27,3,13,0,0,3,7,0,0,0,0,0,0,2013,7,47,17,Wednesday,1,0,0,0,4
1978,Graduation,Single,42948.0,1,0,61,2,2,0,3,17,9,20,30,1,3,7,0,0,0,0,0,0,2013,2,35,1,Friday,1,0,0,0,5
1991,Secondary,Married,29619.6,1,0,105,2,2,0,4,13,7,10,6,7,6,5,0,0,0,0,0,0,2014,8,23,3,Sunday,1,0,0,0,2
1959,Graduation,Together,82915.2,0,1,11,1,5,2,10,252,52,159,7,82,109,4,0,0,0,0,0,0,2013,9,54,27,Friday,1,0,0,0,5
1982,Graduation,Together,67663.2,1,1,58,8,9,1,7,235,51,214,13,32,75,9,0,0,0,0,0,0,2012,10,30,27,Saturday,1,0,0,0,5
1946,PhD,Single,136480.8,0,0,16,0,27,0,0,11,5,3,1,262,3,1,0,0,0,0,0,0,2014,5,68,28,Wednesday,1,0,1,0,4
1973,Master,Married,45344.4,1,0,57,1,3,0,3,45,4,40,4,3,18,8,0,0,0,0,0,0,2013,9,40,20,Friday,1,0,0,0,3
1985,Master,Married,36572.4,1,0,23,1,1,1,3,52,4,6,0,0,12,6,0,0,0,0,0,0,2014,1,29,22,Wednesday,1,0,0,0,3
1960,PhD,Married,40514.4,2,1,68,3,2,2,2,58,4,34,2,0,16,8,0,0,0,0,0,0,2013,7,53,7,Sunday,1,0,0,0,4
1987,Graduation,Divorced,26215.2,1,0,45,4,4,0,3,12,20,18,6,10,26,8,0,0,0,0,0,0,2013,10,26,22,Tuesday,1,0,0,0,5
1955,PhD,Married,84505.2,0,1,105,3,10,3,7,484,31,136,75,14,35,6,0,0,0,0,0,0,2014,6,59,28,Saturday,1,0,0,0,4
1970,Graduation,Married,88137.59999999998,0,0,17,1,7,2,9,241,109,189,23,41,130,4,0,0,0,0,0,0,2014,10,44,2,Thursday,1,0,0,0,5
1986,Graduation,Single,35712.0,1,0,94,4,3,1,4,69,7,68,7,5,17,8,0,0,0,0,0,0,2012,8,26,29,Wednesday,1,0,0,0,5
1972,Master,Divorced,53562.0,1,1,32,2,2,0,3,61,3,9,0,0,3,7,0,0,0,0,0,0,2013,11,41,10,Sunday,1,0,0,0,3
1983,Graduation,Married,50497.2,1,0,93,2,6,3,4,180,13,110,54,6,27,6,1,0,0,0,0,0,2013,2,30,26,Tuesday,1,0,0,0,5
1970,Graduation,Widow,52365.6,0,1,44,2,4,1,4,68,13,83,7,19,19,7,0,0,0,0,0,0,2012,6,42,8,Friday,1,0,0,0,5
1949,Graduation,Married,50630.4,0,0,47,1,2,1,3,45,18,15,17,6,7,4,0,0,0,0,0,0,2013,6,64,9,Sunday,1,0,0,0,5
1973,Graduation,Divorced,32110.8,1,0,72,2,2,1,3,30,6,16,8,5,2,6,0,0,0,0,0,0,2014,7,41,2,Wednesday,1,0,0,0,5
1979,Graduation,Divorced,76431.59999999999,0,1,70,3,11,6,9,592,46,337,42,87,54,6,0,0,0,0,0,0,2013,10,34,14,Monday,1,0,0,0,5
1967,Graduation,Together,52178.4,2,1,90,3,2,0,4,23,4,32,6,3,28,6,0,0,0,0,0,0,2013,11,46,13,Wednesday,1,0,0,0,5
1989,PhD,Married,81055.2,0,0,97,1,4,10,5,869,137,768,150,38,172,3,0,0,0,0,0,0,2012,8,23,31,Friday,1,0,0,0,4
1970,Graduation,Married,58502.4,1,1,15,5,6,1,5,78,60,100,71,15,0,9,0,0,0,0,0,0,2012,12,42,12,Wednesday,1,0,0,0,5
1973,Master,Divorced,51141.6,1,0,99,2,5,0,4,81,17,74,13,5,10,8,0,0,0,0,0,0,2013,9,40,10,Tuesday,1,0,0,0,3
1968,PhD,Married,44336.4,1,1,56,4,3,0,4,93,6,21,4,1,29,9,0,0,0,0,0,0,2012,7,44,8,Sunday,1,0,0,0,4
1967,Graduation,Together,45309.6,1,1,56,2,1,0,3,32,5,10,0,0,1,8,0,0,0,0,0,0,2012,4,45,10,Tuesday,1,0,0,0,5
1964,Graduation,Single,96834.0,0,0,92,1,5,8,5,562,132,984,193,37,18,2,0,0,0,0,0,0,2013,12,49,29,Sunday,1,0,0,0,5
1955,Graduation,Married,60601.2,1,1,17,7,5,4,4,302,3,38,13,0,152,6,1,0,0,0,0,0,2013,6,58,18,Tuesday,1,0,0,0,5
1973,Graduation,Divorced,62175.6,1,1,44,2,2,0,3,56,5,7,0,1,2,7,0,0,0,0,0,0,2013,11,40,4,Monday,1,0,0,0,5
1967,Graduation,Single,76572.0,0,1,52,4,4,3,12,982,15,253,16,12,101,8,0,1,0,0,0,0,2012,11,45,11,Sunday,1,0,0,0,5
1977,Master,Married,59617.2,0,2,73,6,7,1,7,416,3,26,0,0,21,7,0,0,0,0,0,0,2013,4,36,11,Thursday,1,0,0,0,3
1953,Master,Together,84654.0,0,1,36,1,4,1,7,143,42,63,55,18,21,2,0,0,0,0,0,0,2014,3,61,6,Thursday,1,0,0,0,3
1979,Graduation,Together,51064.8,1,1,100,2,2,0,3,34,4,11,0,0,0,4,0,0,0,0,0,0,2013,12,34,1,Sunday,1,0,0,0,5
1980,Graduation,Together,102831.6,0,1,66,2,9,5,11,391,175,183,185,132,111,5,0,0,0,0,0,0,2013,4,33,20,Saturday,1,0,0,0,5
1971,Graduation,Single,36018.0,1,0,35,2,1,0,4,30,3,22,2,3,5,5,0,0,0,0,0,0,2014,2,43,2,Sunday,1,0,0,0,5
1953,Graduation,Married,33998.4,0,0,65,1,2,1,4,19,13,13,4,15,9,2,0,0,0,0,0,0,2014,4,61,30,Wednesday,1,0,0,0,5
1971,Graduation,Married,15912.0,1,1,55,4,3,0,3,14,7,17,10,2,7,8,0,0,0,0,0,0,2013,8,42,23,Friday,1,0,0,0,5
1964,Master,Divorced,59371.2,0,1,36,4,2,11,5,391,26,95,54,41,196,2,0,0,0,0,0,0,2013,6,49,20,Thursday,1,0,0,0,3
1976,Master,Single,55317.6,1,1,93,4,3,2,2,62,3,27,0,0,36,8,0,0,0,0,0,0,2012,8,36,18,Saturday,1,0,0,0,3
1972,Graduation,Divorced,53305.2,1,1,60,5,5,0,4,115,8,59,7,1,7,8,0,0,0,0,0,0,2013,2,41,15,Friday,1,0,0,0,5
1955,Secondary,Single,51128.4,0,1,37,2,3,2,7,161,32,56,30,32,47,3,0,0,0,0,0,0,2013,11,58,17,Sunday,1,0,0,0,2
1983,Graduation,Married,29653.2,0,0,93,1,3,0,3,15,10,25,6,3,7,7,0,0,0,0,0,0,2014,4,31,18,Friday,1,0,0,0,5
1971,Graduation,Divorced,77655.59999999999,1,0,18,2,5,5,7,185,63,241,13,54,54,4,0,0,0,0,0,0,2014,7,43,2,Wednesday,1,0,0,0,5
1948,Secondary,Married,97252.8,0,0,7,1,5,6,10,455,29,535,73,98,26,1,0,0,0,0,0,0,2013,12,65,27,Friday,1,0,0,0,2
1976,Graduation,Single,63841.2,1,1,56,8,6,3,5,285,10,81,20,0,27,7,0,0,0,0,0,0,2013,12,37,2,Monday,1,0,0,0,5
1989,Master,Married,93942.0,0,0,20,1,6,4,10,652,110,391,175,67,40,3,0,0,0,0,0,0,2013,10,24,28,Monday,1,0,0,0,3
1957,PhD,Widow,42408.0,1,1,8,2,2,0,3,32,3,12,0,1,5,5,0,0,0,0,0,0,2014,6,57,29,Sunday,1,0,0,0,4
1950,Graduation,Together,46587.6,0,1,63,1,2,1,3,75,3,11,2,8,23,6,0,0,0,0,0,0,2012,8,62,30,Thursday,1,0,0,0,5
1976,Secondary,Married,26654.4,1,0,56,2,2,0,4,10,12,20,6,8,21,6,0,0,0,0,0,0,2013,9,37,12,Thursday,1,0,0,0,2
